S.No,States,Fatal Accidents,Grievous Injury Accidents,Minor Injury Accidents,Non-Injury Accidents,Total Accidents,Population
1,Andhra Pradesh,6998,4214,8655,4608,24475,53903393
2,Arunachal Pradesh,134,89,31,23,277,1570458
3,Assam,2829,3904,891,624,8248,35607039
4,Bihar,6244,2499,493,364,9600,124799926
5,Chhattisgarh,4217,1745,5895,2007,13864,29436231
6,Goa,248,243,806,2412,3709,1586250
7,Gujarat,7176,6053,4421,1119,18769,63872399
8,Haryana,4806,1562,4684,186,11238,28204692
9,Himachal Pradesh,926,1026,964,194,3110,7451955
10,Jammu and Kashmir,809,2441,1952,776,5978,13606320
11,Jharkhand,3261,1726,294,113,5394,38593948
12,Karnataka,10093,14945,12745,3924,41707,67562686
13,Kerala,4069,28714,5971,1427,40181,35699443
14,Madhya Pradesh,9721,4503,32817,4356,51397,85358965
15,Maharashtra,12098,12648,6585,4386,35717,123144223
16,Manipur,122,131,319,29,601,3091545
17,Meghalaya,165,112,93,29,399,3366710
18,Mizoram,39,6,6,2,53,1239244
19,Nagaland,35,107,128,160,430,2249695
20,Orissa,4861,4182,2045,174,11262,46356334
21,Punjab,4479,1225,580,144,6428,30141373
22,Rajasthan,9295,3990,7701,757,21743,81032689
23,Sikkim,51,79,28,22,180,690251
24,Tamil Nadu,11375,4724,46610,1211,63920,77841267
25,Telangana,6051,1628,12228,2323,22230,39362732
26,Tripura,194,340,13,5,552,4169794
27,Uttaranchal,797,535,106,30,1468,11250858
28,Uttar Pradesh,19364,14685,6858,1661,42568,237882725
29,West Bengal,5185,5621,1122,777,12705,99609303
30,A & N Islands,18,53,119,64,254,417036
31,Chandigarh,97,19,169,31,316,1158473
32,D & N Haveli,52,27,0,1,80,615724
33,Daman & Diu,34,31,10,1,76,615724
34,Delhi,1657,956,3827,75,6515,18710922
35,Lakshadweep,1,2,0,0,3,73183
36,Puducherry,225,546,754,72,1597,1413542
Total,Total,137726,125311,169920,34087,467044,
share,share,29.5,26.8,36.4,7.3,100,
